"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    Estimate","","1,419,561","717,313","702,248","91,007","84,942","84,860","79,978","104,188","210,810","176,248","178,931","92,042","88,494","127,000","62,115","38,946","38.1","1,111,207","1,057,486","279,123","228,061","1,111,207","559,170","552,037","228,061","101,561","126,500","","1,419,561","1,089,262","330,299","1,089,262","360,711","30,729","2,191","N","N","N","N","534,189","2,910","60,706","208,775","173,022","21,642","10,729","56,405","147,612","91,152","3,406","15,523","37,531","13,830","330,299","5,581","10,606","75,289","1,113","","1,419,561","605,053","51,166","30,044","792,522","362,880","31,670","","1,419,561","143,238","44,751","43,754","2,014","52,719","1,276,323","325,266","28,383","1,533","518,355","132,722","1,125","268,939","1,591","267,348","530,118"
"    Percent","","1,419,561","50.5%","49.5%","6.4%","6.0%","6.0%","5.6%","7.3%","14.9%","12.4%","12.6%","6.5%","6.2%","8.9%","4.4%","2.7%","(X)","78.3%","74.5%","19.7%","16.1%","1,111,207","50.3%","49.7%","228,061","44.5%","55.5%","","1,419,561","76.7%","23.3%","76.7%","25.4%","2.2%","0.2%","N","N","N","N","37.6%","0.2%","4.3%","14.7%","12.2%","1.5%","0.8%","4.0%","10.4%","6.4%","0.2%","1.1%","2.6%","1.0%","23.3%","0.4%","0.7%","5.3%","0.1%","","1,419,561","42.6%","3.6%","2.1%","55.8%","25.6%","2.2%","","1,419,561","10.1%","3.2%","3.1%","0.1%","3.7%","89.9%","22.9%","2.0%","0.1%","36.5%","9.3%","0.1%","18.9%","0.1%","18.8%","(X)"
"Idaho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,634,464","817,050","817,414","111,707","123,312","125,022","118,757","110,473","211,307","202,500","196,806","99,858","99,743","140,968","67,570","26,441","35.9","1,203,199","1,130,940","292,661","234,979","1,203,199","595,426","607,773","234,979","110,434","124,545","","1,634,464","1,593,668","40,796","1,593,668","1,498,107","11,354","21,550","1,275","618","1,158","1,282","24,009","3,492","5,061","4,185","1,613","1,756","1,357","6,545","1,984","N","N","N","N","36,664","40,796","6,096","15,071","10,090","338","","1,634,464","1,536,612","18,808","39,683","35,200","3,560","43,494","","1,634,464","196,912","174,309","4,461","545","17,597","1,437,552","1,352,954","10,317","17,847","22,647","1,646","1,086","31,055","543","30,512","685,098"
"    Percent","","1,634,464","50.0%","50.0%","6.8%","7.5%","7.6%","7.3%","6.8%","12.9%","12.4%","12.0%","6.1%","6.1%","8.6%","4.1%","1.6%","(X)","73.6%","69.2%","17.9%","14.4%","1,203,199","49.5%","50.5%","234,979","47.0%","53.0%","","1,634,464","97.5%","2.5%","97.5%","91.7%","0.7%","1.3%","0.1%","0.0%","0.1%","0.1%","1.5%","0.2%","0.3%","0.3%","0.1%","0.1%","0.1%","0.4%","0.1%","N","N","N","N","2.2%","2.5%","0.4%","0.9%","0.6%","0.0%","","1,634,464","94.0%","1.2%","2.4%","2.2%","0.2%","2.7%","","1,634,464","12.0%","10.7%","0.3%","0.0%","1.1%","88.0%","82.8%","0.6%","1.1%","1.4%","0.1%","0.1%","1.9%","0.0%","1.9%","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","12,880,580","6,320,605","6,559,975","789,126","828,295","850,998","870,818","902,267","1,777,446","1,681,898","1,768,994","876,596","746,288","1,002,919","539,720","245,215","37.5","9,895,846","9,363,710","2,213,417","1,787,854","9,895,846","4,798,893","5,096,953","1,787,854","769,310","1,018,544","","12,880,580","12,589,013","291,567","12,589,013","9,290,445","1,837,715","27,995","2,854","1,587","246","717","663,454","241,260","122,185","120,257","16,504","59,946","21,422","81,880","5,825","2,488","1,169","314","1,854","763,579","291,567","86,801","42,778","62,141","8,764","","12,880,580","9,539,802","1,964,507","95,799","746,311","14,225","830,288","","12,880,580","2,151,506","1,711,841","211,626","22,566","205,473","10,729,074","8,006,397","1,812,812","14,333","659,915","4,616","20,358","210,643","8,589","202,054","5,307,508"
"    Percent","","12,880,580","49.1%","50.9%","6.1%","6.4%","6.6%","6.8%","7.0%","13.8%","13.1%","13.7%","6.8%","5.8%","7.8%","4.2%","1.9%","(X)","76.8%","72.7%","17.2%","13.9%","9,895,846","48.5%","51.5%","1,787,854","43.0%","57.0%","","12,880,580","97.7%","2.3%","97.7%","72.1%","14.3%","0.2%","0.0%","0.0%","0.0%","0.0%","5.2%","1.9%","0.9%","0.9%","0.1%","0.5%","0.2%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","5.9%","2.3%","0.7%","0.3%","0.5%","0.1%","","12,880,580","74.1%","15.3%","0.7%","5.8%","0.1%","6.4%","","12,880,580","16.7%","13.3%","1.6%","0.2%","1.6%","83.3%","62.2%","14.1%","0.1%","5.1%","0.0%","0.2%","1.6%","0.1%","1.6%","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,596,855","3,243,979","3,352,876","418,024","443,266","450,754","463,917","477,978","843,079","832,070","887,498","449,629","389,146","535,455","279,344","126,695","37.4","5,013,181","4,716,170","1,165,633","941,494","5,013,181","2,433,745","2,579,436","941,494","409,209","532,285","","6,596,855","6,450,740","146,115","6,450,740","5,547,390","612,890","13,063","2,853","494","236","411","130,250","34,893","31,014","13,214","4,749","8,737","8,126","29,517","3,216","1,568","933","332","383","143,931","146,115","65,530","25,182","19,953","2,985","","6,596,855","5,680,448","694,341","47,921","156,929","8,646","163,928","","6,596,855","425,465","320,397","34,467","4,851","65,750","6,171,390","5,293,743","605,194","10,818","129,562","2,164","10,049","119,860","3,014","116,846","2,829,630"
"    Percent","","6,596,855","49.2%","50.8%","6.3%","6.7%","6.8%","7.0%","7.2%","12.8%","12.6%","13.5%","6.8%","5.9%","8.1%","4.2%","1.9%","(X)","76.0%","71.5%","17.7%","14.3%","5,013,181","48.5%","51.5%","941,494","43.5%","56.5%","","6,596,855","97.8%","2.2%","97.8%","84.1%","9.3%","0.2%","0.0%","0.0%","0.0%","0.0%","2.0%","0.5%","0.5%","0.2%","0.1%","0.1%","0.1%","0.4%","0.0%","0.0%","0.0%","0.0%","0.0%","2.2%","2.2%","1.0%","0.4%","0.3%","0.0%","","6,596,855","86.1%","10.5%","0.7%","2.4%","0.1%","2.5%","","6,596,855","6.4%","4.9%","0.5%","0.1%","1.0%","93.6%","80.2%","9.2%","0.2%","2.0%","0.0%","0.2%","1.8%","0.0%","1.8%","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,107,126","1,544,801","1,562,325","193,571","202,493","207,753","217,809","222,766","390,194","365,753","409,347","214,912","191,900","259,096","156,584","74,948","38.2","2,381,535","2,242,309","598,632","490,628","2,381,535","1,170,603","1,210,932","490,628","214,736","275,892","","3,107,126","3,046,741","60,385","3,046,741","2,837,758","97,874","9,617","855","131","164","1,113","68,419","14,845","11,915","4,323","1,443","7,265","9,816","18,812","2,576","809","41","849","877","30,497","60,385","26,082","9,746","11,777","1,934","","3,107,126","2,893,170","130,300","23,478","83,705","4,694","36,211","","3,107,126","171,067","133,671","5,429","2,446","29,521","2,936,059","2,707,827","96,102","8,337","67,946","2,524","1,039","52,284","464","51,820","1,362,034"
"    Percent","","3,107,126","49.7%","50.3%","6.2%","6.5%","6.7%","7.0%","7.2%","12.6%","11.8%","13.2%","6.9%","6.2%","8.3%","5.0%","2.4%","(X)","76.6%","72.2%","19.3%","15.8%","2,381,535","49.2%","50.8%","490,628","43.8%","56.2%","","3,107,126","98.1%","1.9%","98.1%","91.3%","3.1%","0.3%","0.0%","0.0%","0.0%","0.0%","2.2%","0.5%","0.4%","0.1%","0.0%","0.2%","0.3%","0.6%","0.1%","0.0%","0.0%","0.0%","0.0%","1.0%","1.9%","0.8%","0.3%","0.4%","0.1%","","3,107,126","93.1%","4.2%","0.8%","2.7%","0.2%","1.2%","","3,107,126","5.5%","4.3%","0.2%","0.1%","1.0%","94.5%","87.1%","3.1%","0.3%","2.2%","0.1%","0.0%","1.7%","0.0%","1.7%","(X)"
"Kansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,904,021","1,444,945","1,459,076","199,348","206,217","199,310","204,133","213,492","387,054","349,971","364,467","190,126","172,370","226,755","128,670","62,108","36.2","2,181,534","2,053,043","518,124","417,533","2,181,534","1,075,613","1,105,921","417,533","183,644","233,889","","2,904,021","2,804,459","99,562","2,804,459","2,466,138","171,976","24,500","5,974","426","1,247","1,526","76,245","16,404","13,328","4,644","1,745","4,615","15,893","19,616","2,471","N","N","N","N","63,129","99,562","31,861","31,799","12,262","2,096","","2,904,021","2,556,920","214,723","65,002","93,847","6,098","75,032","","2,904,021","328,957","265,905","11,310","5,038","46,704","2,575,064","2,227,984","165,265","21,502","75,742","2,383","1,845","80,343","1,301","79,042","1,248,861"
"    Percent","","2,904,021","49.8%","50.2%","6.9%","7.1%","6.9%","7.0%","7.4%","13.3%","12.1%","12.6%","6.5%","5.9%","7.8%","4.4%","2.1%","(X)","75.1%","70.7%","17.8%","14.4%","2,181,534","49.3%","50.7%","417,533","44.0%","56.0%","","2,904,021","96.6%","3.4%","96.6%","84.9%","5.9%","0.8%","0.2%","0.0%","0.0%","0.1%","2.6%","0.6%","0.5%","0.2%","0.1%","0.2%","0.5%","0.7%","0.1%","N","N","N","N","2.2%","3.4%","1.1%","1.1%","0.4%","0.1%","","2,904,021","88.0%","7.4%","2.2%","3.2%","0.2%","2.6%","","2,904,021","11.3%","9.2%","0.4%","0.2%","1.6%","88.7%","76.7%","5.7%","0.7%","2.6%","0.1%","0.1%","2.8%","0.0%","2.7%","(X)"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,413,457","2,174,158","2,239,299","274,632","287,455","282,180","292,263","309,746","562,906","559,455","613,459","309,695","268,644","385,378","189,380","78,264","38.5","3,398,154","3,217,103","810,774","653,022","3,398,154","1,651,276","1,746,878","653,022","286,408","366,614","","4,413,457","4,319,214","94,243","4,319,214","3,858,261","350,141","10,526","3,125","511","32","490","54,542","16,044","9,325","5,643","2,889","3,749","6,005","10,887","2,650","205","664","370","1,411","43,094","94,243","50,298","17,656","11,476","1,413","","4,413,457","3,945,501","408,677","31,837","69,351","5,242","50,505","","4,413,457","145,170","84,700","14,553","11,023","34,894","4,268,287","3,769,031","345,388","8,083","54,208","2,402","4,926","84,249","1,326","82,923","1,950,504"
"    Percent","","4,413,457","49.3%","50.7%","6.2%","6.5%","6.4%","6.6%","7.0%","12.8%","12.7%","13.9%","7.0%","6.1%","8.7%","4.3%","1.8%","(X)","77.0%","72.9%","18.4%","14.8%","3,398,154","48.6%","51.4%","653,022","43.9%","56.1%","","4,413,457","97.9%","2.1%","97.9%","87.4%","7.9%","0.2%","0.1%","0.0%","0.0%","0.0%","1.2%","0.4%","0.2%","0.1%","0.1%","0.1%","0.1%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","1.0%","2.1%","1.1%","0.4%","0.3%","0.0%","","4,413,457","89.4%","9.3%","0.7%","1.6%","0.1%","1.1%","","4,413,457","3.3%","1.9%","0.3%","0.2%","0.8%","96.7%","85.4%","7.8%","0.2%","1.2%","0.1%","0.1%","1.9%","0.0%","1.9%","(X)"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,649,676","2,272,116","2,377,560","305,454","317,480","310,002","309,419","346,633","660,444","578,342","603,300","313,787","273,645","372,329","186,639","72,202","36.1","3,534,892","3,338,562","790,783","631,170","3,534,892","1,703,912","1,830,980","631,170","273,926","357,244","","4,649,676","4,571,064","78,612","4,571,064","2,919,142","1,502,184","26,009","N","N","N","N","78,675","11,576","8,823","7,646","1,497","4,977","36,075","8,081","2,816","737","881","57","1,141","42,238","78,612","25,760","17,219","11,972","5,277","","4,649,676","2,987,476","1,542,305","55,634","93,522","5,161","52,801","","4,649,676","223,889","93,989","11,526","8,926","109,448","4,425,787","2,753,573","1,493,046","23,474","78,138","2,661","8,007","66,888","2,326","64,562","2,011,037"
"    Percent","","4,649,676","48.9%","51.1%","6.6%","6.8%","6.7%","6.7%","7.5%","14.2%","12.4%","13.0%","6.7%","5.9%","8.0%","4.0%","1.6%","(X)","76.0%","71.8%","17.0%","13.6%","3,534,892","48.2%","51.8%","631,170","43.4%","56.6%","","4,649,676","98.3%","1.7%","98.3%","62.8%","32.3%","0.6%","N","N","N","N","1.7%","0.2%","0.2%","0.2%","0.0%","0.1%","0.8%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","0.9%","1.7%","0.6%","0.4%","0.3%","0.1%","","4,649,676","64.3%","33.2%","1.2%","2.0%","0.1%","1.1%","","4,649,676","4.8%","2.0%","0.2%","0.2%","2.4%","95.2%","59.2%","32.1%","0.5%","1.7%","0.1%","0.2%","1.4%","0.1%","1.4%","(X)"
"Maine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,330,089","647,622","682,467","62,917","71,830","75,652","81,733","78,550","152,283","156,180","201,870","107,922","98,588","140,191","71,013","31,360","44.1","1,072,117","1,021,546","298,434","242,564","1,072,117","517,153","554,964","242,564","109,804","132,760","","1,330,089","1,302,587","27,502","1,302,587","1,260,278","16,557","8,322","N","N","N","N","14,447","1,151","4,424","1,936","824","802","1,759","3,551","36","N","N","N","N","2,947","27,502","4,468","14,049","5,734","391","","1,330,089","1,286,809","22,945","24,228","21,078","509","3,904","","1,330,089","19,839","5,691","4,765","1,240","8,143","1,310,250","1,245,685","16,106","7,792","14,447","36","1,166","25,018","273","24,745","727,693"
"    Percent","","1,330,089","48.7%","51.3%","4.7%","5.4%","5.7%","6.1%","5.9%","11.4%","11.7%","15.2%","8.1%","7.4%","10.5%","5.3%","2.4%","(X)","80.6%","76.8%","22.4%","18.2%","1,072,117","48.2%","51.8%","242,564","45.3%","54.7%","","1,330,089","97.9%","2.1%","97.9%","94.8%","1.2%","0.6%","N","N","N","N","1.1%","0.1%","0.3%","0.1%","0.1%","0.1%","0.1%","0.3%","0.0%","N","N","N","N","0.2%","2.1%","0.3%","1.1%","0.4%","0.0%","","1,330,089","96.7%","1.7%","1.8%","1.6%","0.0%","0.3%","","1,330,089","1.5%","0.4%","0.4%","0.1%","0.6%","98.5%","93.7%","1.2%","0.6%","1.1%","0.0%","0.1%","1.9%","0.0%","1.9%","(X)"
"Maryland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,976,407","2,896,033","3,080,374","367,283","372,741","381,633","387,209","404,728","827,460","771,141","877,068","415,303","349,670","479,017","233,235","109,919","38.3","4,625,232","4,383,228","1,026,656","822,171","4,625,232","2,205,615","2,419,617","822,171","353,543","468,628","","5,976,407","5,803,400","173,007","5,803,400","3,432,582","1,774,618","14,657","1,818","0","64","469","369,996","100,316","80,194","46,566","9,340","47,651","26,411","59,518","2,086","389","1,025","335","337","209,461","173,007","52,182","20,450","39,510","12,889","","5,976,407","3,569,832","1,866,387","61,256","428,885","8,137","232,319","","5,976,407","556,179","98,080","53,479","12,937","391,683","5,420,228","3,133,653","1,744,971","10,663","367,948","1,636","15,195","146,162","5,854","140,308","2,422,317"
"    Percent","","5,976,407","48.5%","51.5%","6.1%","6.2%","6.4%","6.5%","6.8%","13.8%","12.9%","14.7%","6.9%","5.9%","8.0%","3.9%","1.8%","(X)","77.4%","73.3%","17.2%","13.8%","4,625,232","47.7%","52.3%","822,171","43.0%","57.0%","","5,976,407","97.1%","2.9%","97.1%","57.4%","29.7%","0.2%","0.0%","0.0%","0.0%","0.0%","6.2%","1.7%","1.3%","0.8%","0.2%","0.8%","0.4%","1.0%","0.0%","0.0%","0.0%","0.0%","0.0%","3.5%","2.9%","0.9%","0.3%","0.7%","0.2%","","5,976,407","59.7%","31.2%","1.0%","7.2%","0.1%","3.9%","","5,976,407","9.3%","1.6%","0.9%","0.2%","6.6%","90.7%","52.4%","29.2%","0.2%","6.2%","0.0%","0.3%","2.4%","0.1%","2.3%","(X)"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,745,408","3,269,679","3,475,729","365,967","369,771","404,810","458,174","492,335","928,715","839,355","985,071","472,156","413,477","563,406","300,561","151,610","39.4","5,354,723","5,046,574","1,251,697","1,015,577","5,354,723","2,559,791","2,794,932","1,015,577","434,098","581,479","","6,745,408","6,534,882","210,526","6,534,882","5,347,420","477,527","15,599","465","370","270","249","413,079","95,495","156,675","12,340","9,918","20,659","44,485","73,507","1,329","405","371","83","470","279,928","210,526","92,577","21,264","42,098","4,726","","6,745,408","5,536,189","593,757","48,497","468,916","8,974","314,105","","6,745,408","730,094","39,223","308,028","12,313","370,530","6,015,314","4,977,913","439,433","8,451","411,917","414","42,145","135,041","12,056","122,985","2,828,592"
"    Percent","","6,745,408","48.5%","51.5%","5.4%","5.5%","6.0%","6.8%","7.3%","13.8%","12.4%","14.6%","7.0%","6.1%","8.4%","4.5%","2.2%","(X)","79.4%","74.8%","18.6%","15.1%","5,354,723","47.8%","52.2%","1,015,577","42.7%","57.3%","","6,745,408","96.9%","3.1%","96.9%","79.3%","7.1%","0.2%","0.0%","0.0%","0.0%","0.0%","6.1%","1.4%","2.3%","0.2%","0.1%","0.3%","0.7%","1.1%","0.0%","0.0%","0.0%","0.0%","0.0%","4.1%","3.1%","1.4%","0.3%","0.6%","0.1%","","6,745,408","82.1%","8.8%","0.7%","7.0%","0.1%","4.7%","","6,745,408","10.8%","0.6%","4.6%","0.2%","5.5%","89.2%","73.8%","6.5%","0.1%","6.1%","0.0%","0.6%","2.0%","0.2%","1.8%","(X)"
"Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","9,909,877","4,865,257","5,044,620","568,904","608,772","643,047","679,156","729,473","1,196,312","1,189,934","1,399,671","720,844","642,697","873,559","453,778","203,730","39.6","7,686,241","7,259,828","1,902,530","1,531,067","7,686,241","3,727,609","3,958,632","1,531,067","673,803","857,264","","9,909,877","9,653,032","256,845","9,653,032","7,816,586","1,375,194","55,729","3,310","24,009","441","999","281,404","98,701","53,817","23,538","9,583","31,412","13,661","50,692","2,260","1,374","255","496","135","121,859","256,845","92,058","58,989","40,117","13,793","","9,909,877","8,045,636","1,506,987","146,002","336,731","9,226","146,017","","9,909,877","475,095","352,010","39,262","9,407","74,416","9,434,782","7,500,803","1,363,958","49,741","279,628","1,851","14,964","223,837","5,037","218,800","4,540,088"
"    Percent","","9,909,877","49.1%","50.9%","5.7%","6.1%","6.5%","6.9%","7.4%","12.1%","12.0%","14.1%","7.3%","6.5%","8.8%","4.6%","2.1%","(X)","77.6%","73.3%","19.2%","15.4%","7,686,241","48.5%","51.5%","1,531,067","44.0%","56.0%","","9,909,877","97.4%","2.6%","97.4%","78.9%","13.9%","0.6%","0.0%","0.2%","0.0%","0.0%","2.8%","1.0%","0.5%","0.2%","0.1%","0.3%","0.1%","0.5%","0.0%","0.0%","0.0%","0.0%","0.0%","1.2%","2.6%","0.9%","0.6%","0.4%","0.1%","","9,909,877","81.2%","15.2%","1.5%","3.4%","0.1%","1.5%","","9,909,877","4.8%","3.6%","0.4%","0.1%","0.8%","95.2%","75.7%","13.8%","0.5%","2.8%","0.0%","0.2%","2.3%","0.1%","2.2%","(X)"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,457,173","2,712,823","2,744,350","347,403","363,215","359,621","354,723","359,628","750,973","672,081","758,907","385,399","327,390","430,175","233,327","114,331","37.8","4,174,065","3,959,735","970,509","777,833","4,174,065","2,055,803","2,118,262","777,833","346,460","431,373","","5,457,173","5,314,138","143,035","5,314,138","4,606,959","312,432","56,934","446","35,024","135","7,391","250,352","42,668","28,484","9,084","3,480","15,391","26,553","124,692","2,392","1,354","197","205","636","85,069","143,035","45,742","33,197","33,787","3,734","","5,457,173","4,739,703","373,589","102,323","292,515","6,595","97,544","","5,457,173","276,440","197,056","13,076","3,514","62,794","5,180,733","4,437,012","307,850","52,047","249,211","1,776","8,098","124,739","2,187","122,552","2,385,261"
"    Percent","","5,457,173","49.7%","50.3%","6.4%","6.7%","6.6%","6.5%","6.6%","13.8%","12.3%","13.9%","7.1%","6.0%","7.9%","4.3%","2.1%","(X)","76.5%","72.6%","17.8%","14.3%","4,174,065","49.3%","50.7%","777,833","44.5%","55.5%","","5,457,173","97.4%","2.6%","97.4%","84.4%","5.7%","1.0%","0.0%","0.6%","0.0%","0.1%","4.6%","0.8%","0.5%","0.2%","0.1%","0.3%","0.5%","2.3%","0.0%","0.0%","0.0%","0.0%","0.0%","1.6%","2.6%","0.8%","0.6%","0.6%","0.1%","","5,457,173","86.9%","6.8%","1.9%","5.4%","0.1%","1.8%","","5,457,173","5.1%","3.6%","0.2%","0.1%","1.2%","94.9%","81.3%","5.6%","1.0%","4.6%","0.0%","0.1%","2.3%","0.0%","2.2%","(X)"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,994,079","1,457,828","1,536,251","192,007","205,354","213,111","223,935","208,962","383,751","385,978","380,159","201,794","171,715","247,652","130,144","49,517","36.7","2,261,526","2,115,458","524,616","427,313","2,261,526","1,080,034","1,181,492","427,313","182,795","244,518","","2,994,079","2,955,736","38,343","2,955,736","1,761,195","1,132,556","12,252","N","N","N","N","24,009","4,852","4,061","3,364","1,506","2,378","4,914","2,934","458","N","N","N","N","25,266","38,343","15,865","7,913","5,910","1,739","","2,994,079","1,794,738","1,153,529","22,628","31,733","2,903","28,803","","2,994,079","80,566","53,546","8,150","1,378","17,492","2,913,513","1,712,773","1,128,351","11,435","23,925","458","2,538","34,033","623","33,410","1,294,738"
