"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    Estimate","","5,420,380","2,690,694","2,729,686","346,348","360,418","362,916","359,584","361,781","739,072","669,262","770,612","377,879","317,790","412,205","234,105","108,408","37.7","4,137,786","3,917,367","936,882","754,718","4,137,786","2,035,662","2,102,124","754,718","334,538","420,180","","5,420,380","5,273,619","146,761","5,273,619","4,596,087","294,527","59,184","934","35,491","412","5,787","234,013","32,957","28,672","10,920","3,563","17,516","23,239","117,146","1,753","530","296","503","424","88,055","146,761","50,672","35,974","29,914","3,710","","5,420,380","4,729,035","359,827","106,567","273,717","6,994","100,890","","5,420,380","266,850","179,508","14,538","4,952","67,852","5,153,530","4,438,070","289,817","54,461","232,661","1,503","7,872","129,146","3,200","125,946","2,368,754"
"    Percent","","5,420,380","49.6%","50.4%","6.4%","6.6%","6.7%","6.6%","6.7%","13.6%","12.3%","14.2%","7.0%","5.9%","7.6%","4.3%","2.0%","(X)","76.3%","72.3%","17.3%","13.9%","4,137,786","49.2%","50.8%","754,718","44.3%","55.7%","","5,420,380","97.3%","2.7%","97.3%","84.8%","5.4%","1.1%","0.0%","0.7%","0.0%","0.1%","4.3%","0.6%","0.5%","0.2%","0.1%","0.3%","0.4%","2.2%","0.0%","0.0%","0.0%","0.0%","0.0%","1.6%","2.7%","0.9%","0.7%","0.6%","0.1%","","5,420,380","87.2%","6.6%","2.0%","5.0%","0.1%","1.9%","","5,420,380","4.9%","3.3%","0.3%","0.1%","1.3%","95.1%","81.9%","5.3%","1.0%","4.3%","0.0%","0.1%","2.4%","0.1%","2.3%","(X)"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,991,207","1,451,232","1,539,975","197,882","212,488","205,283","221,826","222,674","375,578","381,092","389,310","197,676","173,033","240,503","126,976","46,886","36.6","2,254,067","2,102,835","517,620","414,365","2,254,067","1,074,627","1,179,440","414,365","176,332","238,033","","2,991,207","2,958,938","32,269","2,958,938","1,764,640","1,128,280","13,314","N","N","N","N","28,159","5,431","3,680","4,624","1,471","2,534","7,164","3,255","268","N","N","N","N","24,277","32,269","12,945","5,686","3,453","2,114","","2,991,207","1,791,226","1,148,139","22,855","35,297","1,729","27,440","","2,991,207","80,455","49,641","8,595","1,675","20,544","2,910,752","1,716,080","1,124,524","11,651","27,784","268","2,472","27,973","566","27,407","1,283,192"
"    Percent","","2,991,207","48.5%","51.5%","6.6%","7.1%","6.9%","7.4%","7.4%","12.6%","12.7%","13.0%","6.6%","5.8%","8.0%","4.2%","1.6%","(X)","75.4%","70.3%","17.3%","13.9%","2,254,067","47.7%","52.3%","414,365","42.6%","57.4%","","2,991,207","98.9%","1.1%","98.9%","59.0%","37.7%","0.4%","N","N","N","N","0.9%","0.2%","0.1%","0.2%","0.0%","0.1%","0.2%","0.1%","0.0%","N","N","N","N","0.8%","1.1%","0.4%","0.2%","0.1%","0.1%","","2,991,207","59.9%","38.4%","0.8%","1.2%","0.1%","0.9%","","2,991,207","2.7%","1.7%","0.3%","0.1%","0.7%","97.3%","57.4%","37.6%","0.4%","0.9%","0.0%","0.1%","0.9%","0.0%","0.9%","(X)"
"Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,044,171","2,960,402","3,083,769","374,233","391,183","398,270","399,166","434,036","796,534","723,852","839,236","413,029","366,274","507,803","279,785","120,770","38.1","4,645,096","4,390,578","1,116,976","908,358","4,645,096","2,245,217","2,399,879","908,358","396,821","511,537","","6,044,171","5,892,184","151,987","5,892,184","5,003,971","692,288","22,797","7,926","429","171","1,348","102,626","25,660","22,997","11,445","2,426","12,043","14,242","13,813","5,491","3,196","519","762","1,014","65,011","151,987","51,084","42,224","23,015","6,524","","6,044,171","5,138,632","763,283","80,074","134,195","12,454","77,715","","6,044,171","229,748","155,928","13,797","7,821","52,202","5,814,423","4,859,130","686,360","19,350","102,267","5,050","6,793","135,473","1,849","133,624","2,719,109"
"    Percent","","6,044,171","49.0%","51.0%","6.2%","6.5%","6.6%","6.6%","7.2%","13.2%","12.0%","13.9%","6.8%","6.1%","8.4%","4.6%","2.0%","(X)","76.9%","72.6%","18.5%","15.0%","4,645,096","48.3%","51.7%","908,358","43.7%","56.3%","","6,044,171","97.5%","2.5%","97.5%","82.8%","11.5%","0.4%","0.1%","0.0%","0.0%","0.0%","1.7%","0.4%","0.4%","0.2%","0.0%","0.2%","0.2%","0.2%","0.1%","0.1%","0.0%","0.0%","0.0%","1.1%","2.5%","0.8%","0.7%","0.4%","0.1%","","6,044,171","85.0%","12.6%","1.3%","2.2%","0.2%","1.3%","","6,044,171","3.8%","2.6%","0.2%","0.1%","0.9%","96.2%","80.4%","11.4%","0.3%","1.7%","0.1%","0.1%","2.2%","0.0%","2.2%","(X)"
"Montana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,015,165","507,018","508,147","61,143","64,529","60,304","67,562","72,458","126,517","114,827","134,116","79,636","68,993","94,636","49,253","21,191","39.6","791,069","745,612","204,022","165,080","791,069","393,667","397,402","165,080","77,518","87,562","","1,015,165","989,269","25,896","989,269","904,740","3,221","69,216","913","3,278","736","5,593","6,548","439","1,497","1,499","493","1,351","556","713","491","N","N","N","N","5,053","25,896","2,572","13,626","2,915","334","","1,015,165","929,045","6,904","84,982","12,151","3,338","7,154","","1,015,165","33,181","25,231","1,492","514","5,944","981,984","883,575","3,050","67,219","6,273","491","119","21,257","31","21,226","485,767"
"    Percent","","1,015,165","49.9%","50.1%","6.0%","6.4%","5.9%","6.7%","7.1%","12.5%","11.3%","13.2%","7.8%","6.8%","9.3%","4.9%","2.1%","(X)","77.9%","73.4%","20.1%","16.3%","791,069","49.8%","50.2%","165,080","47.0%","53.0%","","1,015,165","97.4%","2.6%","97.4%","89.1%","0.3%","6.8%","0.1%","0.3%","0.1%","0.6%","0.6%","0.0%","0.1%","0.1%","0.0%","0.1%","0.1%","0.1%","0.0%","N","N","N","N","0.5%","2.6%","0.3%","1.3%","0.3%","0.0%","","1,015,165","91.5%","0.7%","8.4%","1.2%","0.3%","0.7%","","1,015,165","3.3%","2.5%","0.1%","0.1%","0.6%","96.7%","87.0%","0.3%","6.6%","0.6%","0.0%","0.0%","2.1%","0.0%","2.1%","(X)"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,868,516","925,274","943,242","128,830","134,551","126,216","130,254","133,457","250,749","224,561","245,360","121,186","108,724","138,757","85,630","40,241","36.3","1,404,764","1,320,299","325,524","264,628","1,404,764","690,886","713,878","264,628","116,179","148,449","","1,868,516","1,825,654","42,862","1,825,654","1,650,358","86,010","14,405","710","139","322","5,222","37,356","6,135","6,663","2,652","1,917","2,529","9,269","8,191","1,654","N","N","N","N","35,871","42,862","12,524","9,540","7,364","1,916","","1,868,516","1,689,446","103,130","28,369","46,451","3,637","42,809","","1,868,516","183,182","136,890","3,833","3,514","38,945","1,685,334","1,512,709","84,182","12,796","36,904","1,654","2,728","34,361","302","34,059","806,888"
"    Percent","","1,868,516","49.5%","50.5%","6.9%","7.2%","6.8%","7.0%","7.1%","13.4%","12.0%","13.1%","6.5%","5.8%","7.4%","4.6%","2.2%","(X)","75.2%","70.7%","17.4%","14.2%","1,404,764","49.2%","50.8%","264,628","43.9%","56.1%","","1,868,516","97.7%","2.3%","97.7%","88.3%","4.6%","0.8%","0.0%","0.0%","0.0%","0.3%","2.0%","0.3%","0.4%","0.1%","0.1%","0.1%","0.5%","0.4%","0.1%","N","N","N","N","1.9%","2.3%","0.7%","0.5%","0.4%","0.1%","","1,868,516","90.4%","5.5%","1.5%","2.5%","0.2%","2.3%","","1,868,516","9.8%","7.3%","0.2%","0.2%","2.1%","90.2%","81.0%","4.5%","0.7%","2.0%","0.1%","0.1%","1.8%","0.0%","1.8%","(X)"
"Nevada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,790,136","1,403,068","1,387,068","177,287","193,023","180,243","178,628","188,071","397,867","379,270","378,190","177,429","159,296","236,888","103,565","40,379","37.1","2,128,489","2,024,186","475,559","380,832","2,128,489","1,066,101","1,062,388","380,832","178,928","201,904","","2,790,136","2,672,728","117,408","2,672,728","1,906,864","234,179","30,016","1,431","0","1,748","752","215,121","8,346","31,954","110,231","9,168","15,317","13,124","26,981","18,302","6,828","2,622","4,397","4,455","268,246","117,408","24,174","16,841","26,543","1,919","","2,790,136","2,001,067","272,650","54,191","266,463","37,989","288,328","","2,790,136","767,054","590,697","25,546","23,555","127,256","2,023,082","1,453,526","225,397","23,689","211,610","17,632","4,701","86,527","2,620","83,907","1,186,936"
"    Percent","","2,790,136","50.3%","49.7%","6.4%","6.9%","6.5%","6.4%","6.7%","14.3%","13.6%","13.6%","6.4%","5.7%","8.5%","3.7%","1.4%","(X)","76.3%","72.5%","17.0%","13.6%","2,128,489","50.1%","49.9%","380,832","47.0%","53.0%","","2,790,136","95.8%","4.2%","95.8%","68.3%","8.4%","1.1%","0.1%","0.0%","0.1%","0.0%","7.7%","0.3%","1.1%","4.0%","0.3%","0.5%","0.5%","1.0%","0.7%","0.2%","0.1%","0.2%","0.2%","9.6%","4.2%","0.9%","0.6%","1.0%","0.1%","","2,790,136","71.7%","9.8%","1.9%","9.6%","1.4%","10.3%","","2,790,136","27.5%","21.2%","0.9%","0.8%","4.6%","72.5%","52.1%","8.1%","0.8%","7.6%","0.6%","0.2%","3.1%","0.1%","3.0%","(X)"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,323,459","652,662","670,797","65,807","76,311","77,620","90,929","88,224","150,082","162,369","215,908","103,945","89,304","116,885","60,131","25,944","42.3","1,052,284","996,203","253,814","202,960","1,052,284","515,421","536,863","202,960","90,891","112,069","","1,323,459","1,298,070","25,389","1,298,070","1,236,757","16,100","3,082","N","N","N","N","31,156","9,462","7,094","2,495","521","1,781","1,661","8,142","106","N","N","N","N","10,869","25,389","8,408","7,754","5,294","451","","1,323,459","1,260,892","26,176","12,330","37,487","1,084","12,504","","1,323,459","41,805","12,107","12,284","1,044","16,370","1,281,654","1,209,037","13,319","2,544","31,115","106","2,716","22,817","738","22,079","616,496"
"    Percent","","1,323,459","49.3%","50.7%","5.0%","5.8%","5.9%","6.9%","6.7%","11.3%","12.3%","16.3%","7.9%","6.7%","8.8%","4.5%","2.0%","(X)","79.5%","75.3%","19.2%","15.3%","1,052,284","49.0%","51.0%","202,960","44.8%","55.2%","","1,323,459","98.1%","1.9%","98.1%","93.4%","1.2%","0.2%","N","N","N","N","2.4%","0.7%","0.5%","0.2%","0.0%","0.1%","0.1%","0.6%","0.0%","N","N","N","N","0.8%","1.9%","0.6%","0.6%","0.4%","0.0%","","1,323,459","95.3%","2.0%","0.9%","2.8%","0.1%","0.9%","","1,323,459","3.2%","0.9%","0.9%","0.1%","1.2%","96.8%","91.4%","1.0%","0.2%","2.4%","0.0%","0.2%","1.7%","0.1%","1.7%","(X)"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","8,899,339","4,343,749","4,555,590","531,181","550,888","584,367","579,812","566,386","1,139,704","1,183,903","1,352,589","620,589","505,513","703,060","386,100","195,247","39.4","6,877,442","6,538,100","1,578,331","1,284,407","6,877,442","3,309,625","3,567,817","1,284,407","543,640","740,767","","8,899,339","8,682,001","217,338","8,682,001","6,068,475","1,215,836","16,422","1,096","133","87","308","801,879","344,756","143,816","119,185","14,823","88,456","23,096","67,747","1,633","301","445","414","473","577,756","217,338","71,507","17,305","43,099","8,048","","8,899,339","6,245,124","1,329,794","57,891","866,717","9,381","629,843","","8,899,339","1,684,014","229,587","478,439","86,454","889,534","7,215,325","5,099,422","1,135,008","8,701","796,851","1,118","39,904","134,321","12,487","121,834","3,578,260"
"    Percent","","8,899,339","48.8%","51.2%","6.0%","6.2%","6.6%","6.5%","6.4%","12.8%","13.3%","15.2%","7.0%","5.7%","7.9%","4.3%","2.2%","(X)","77.3%","73.5%","17.7%","14.4%","6,877,442","48.1%","51.9%","1,284,407","42.3%","57.7%","","8,899,339","97.6%","2.4%","97.6%","68.2%","13.7%","0.2%","0.0%","0.0%","0.0%","0.0%","9.0%","3.9%","1.6%","1.3%","0.2%","1.0%","0.3%","0.8%","0.0%","0.0%","0.0%","0.0%","0.0%","6.5%","2.4%","0.8%","0.2%","0.5%","0.1%","","8,899,339","70.2%","14.9%","0.7%","9.7%","0.1%","7.1%","","8,899,339","18.9%","2.6%","5.4%","1.0%","10.0%","81.1%","57.3%","12.8%","0.1%","9.0%","0.0%","0.4%","1.5%","0.1%","1.4%","(X)"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,085,287","1,034,144","1,051,143","138,396","142,464","143,896","146,715","151,970","270,201","249,017","267,999","139,487","127,985","179,869","92,486","34,802","36.9","1,577,203","1,481,876","380,647","307,157","1,577,203","775,681","801,522","307,157","140,836","166,321","","2,085,287","2,015,885","69,402","2,015,885","1,569,585","41,733","189,392","1,274","232","115,740","1,252","28,274","3,816","4,770","4,136","3,052","1,563","5,847","5,090","1,622","272","397","307","646","185,279","69,402","8,973","19,128","10,193","3,792","","2,085,287","1,627,403","58,206","217,737","43,118","4,864","207,375","","2,085,287","986,553","650,926","8,336","5,759","321,532","1,098,734","819,078","36,617","176,373","26,093","1,220","2,821","36,532","831","35,701","905,134"
"    Percent","","2,085,287","49.6%","50.4%","6.6%","6.8%","6.9%","7.0%","7.3%","13.0%","11.9%","12.9%","6.7%","6.1%","8.6%","4.4%","1.7%","(X)","75.6%","71.1%","18.3%","14.7%","1,577,203","49.2%","50.8%","307,157","45.9%","54.1%","","2,085,287","96.7%","3.3%","96.7%","75.3%","2.0%","9.1%","0.1%","0.0%","5.6%","0.1%","1.4%","0.2%","0.2%","0.2%","0.1%","0.1%","0.3%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","8.9%","3.3%","0.4%","0.9%","0.5%","0.2%","","2,085,287","78.0%","2.8%","10.4%","2.1%","0.2%","9.9%","","2,085,287","47.3%","31.2%","0.4%","0.3%","15.4%","52.7%","39.3%","1.8%","8.5%","1.3%","0.1%","0.1%","1.8%","0.0%","1.7%","(X)"
"New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","19,651,127","9,536,179","10,114,948","1,170,425","1,152,215","1,180,714","1,287,337","1,441,126","2,795,995","2,517,362","2,817,419","1,322,977","1,135,714","1,541,599","863,140","425,104","38.2","15,411,865","14,561,161","3,483,999","2,829,843","15,411,865","7,365,855","8,046,010","2,829,843","1,193,771","1,636,072","","19,651,127","19,086,433","564,694","19,086,433","12,695,280","3,079,582","73,231","4,474","520","266","268","1,554,980","336,623","669,957","100,208","35,759","129,050","31,181","252,202","9,962","2,292","901","781","5,988","1,673,398","564,694","158,344","57,121","94,317","18,877","","19,651,127","13,140,134","3,354,246","194,476","1,708,354","31,482","1,849,393","","19,651,127","3,606,708","465,641","1,103,067","74,433","1,963,567","16,044,419","11,185,549","2,831,270","47,556","1,543,550","7,171","105,872","323,451","31,481","291,970","8,126,399"
"    Percent","","19,651,127","48.5%","51.5%","6.0%","5.9%","6.0%","6.6%","7.3%","14.2%","12.8%","14.3%","6.7%","5.8%","7.8%","4.4%","2.2%","(X)","78.4%","74.1%","17.7%","14.4%","15,411,865","47.8%","52.2%","2,829,843","42.2%","57.8%","","19,651,127","97.1%","2.9%","97.1%","64.6%","15.7%","0.4%","0.0%","0.0%","0.0%","0.0%","7.9%","1.7%","3.4%","0.5%","0.2%","0.7%","0.2%","1.3%","0.1%","0.0%","0.0%","0.0%","0.0%","8.5%","2.9%","0.8%","0.3%","0.5%","0.1%","","19,651,127","66.9%","17.1%","1.0%","8.7%","0.2%","9.4%","","19,651,127","18.4%","2.4%","5.6%","0.4%","10.0%","81.6%","56.9%","14.4%","0.2%","7.9%","0.0%","0.5%","1.6%","0.2%","1.5%","(X)"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","9,848,060","4,795,976","5,052,084","607,482","657,564","644,390","652,529","717,985","1,269,513","1,320,217","1,353,614","649,713","570,335","826,057","414,633","164,028","37.9","7,563,892","7,130,212","1,738,355","1,404,718","7,563,892","3,628,753","3,935,139","1,404,718","608,465","796,253","","9,848,060","9,611,916","236,144","9,611,916","6,811,501","2,121,712","112,630","16,144","470","816","37","238,502","66,986","40,392","18,942","6,229","19,027","35,887","51,039","6,661","1,741","1,434","740","2,746","320,910","236,144","77,308","40,727","31,449","19,319","","9,848,060","7,004,568","2,250,063","192,149","290,016","16,551","355,619","","9,848,060","867,205","518,501","83,143","21,185","244,376","8,980,855","6,326,195","2,090,265","104,445","236,999","5,493","22,585","194,873","6,219","188,654","4,394,515"
"    Percent","","9,848,060","48.7%","51.3%","6.2%","6.7%","6.5%","6.6%","7.3%","12.9%","13.4%","13.7%","6.6%","5.8%","8.4%","4.2%","1.7%","(X)","76.8%","72.4%","17.7%","14.3%","7,563,892","48.0%","52.0%","1,404,718","43.3%","56.7%","","9,848,060","97.6%","2.4%","97.6%","69.2%","21.5%","1.1%","0.2%","0.0%","0.0%","0.0%","2.4%","0.7%","0.4%","0.2%","0.1%","0.2%","0.4%","0.5%","0.1%","0.0%","0.0%","0.0%","0.0%","3.3%","2.4%","0.8%","0.4%","0.3%","0.2%","","9,848,060","71.1%","22.8%","2.0%","2.9%","0.2%","3.6%","","9,848,060","8.8%","5.3%","0.8%","0.2%","2.5%","91.2%","64.2%","21.2%","1.1%","2.4%","0.1%","0.2%","2.0%","0.1%","1.9%","(X)"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","723,393","369,155","354,238","47,475","43,950","44,489","48,368","71,296","101,662","81,307","90,992","51,194","40,110","51,315","33,829","17,406","35.5","562,700","523,952","124,203","102,550","562,700","286,955","275,745","102,550","45,678","56,872","","723,393","708,606","14,787","708,606","643,478","10,827","40,214","0","15,433","12","12,553","9,096","2,375","1,089","1,354","366","280","948","2,684","371","N","N","N","N","4,620","14,787","3,545","6,749","1,754","27","","723,393","657,943","15,677","47,893","11,312","1,078","5,655","","723,393","17,631","13,319","1,605","118","2,589","705,762","632,146","10,370","39,862","9,096","260","266","13,762","150","13,612","339,293"
"    Percent","","723,393","51.0%","49.0%","6.6%","6.1%","6.2%","6.7%","9.9%","14.1%","11.2%","12.6%","7.1%","5.5%","7.1%","4.7%","2.4%","(X)","77.8%","72.4%","17.2%","14.2%","562,700","51.0%","49.0%","102,550","44.5%","55.5%","","723,393","98.0%","2.0%","98.0%","89.0%","1.5%","5.6%","0.0%","2.1%","0.0%","1.7%","1.3%","0.3%","0.2%","0.2%","0.1%","0.0%","0.1%","0.4%","0.1%","N","N","N","N","0.6%","2.0%","0.5%","0.9%","0.2%","0.0%","","723,393","91.0%","2.2%","6.6%","1.6%","0.1%","0.8%","","723,393","2.4%","1.8%","0.2%","0.0%","0.4%","97.6%","87.4%","1.4%","5.5%","1.3%","0.0%","0.0%","1.9%","0.0%","1.9%","(X)"
"Ohio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","11,570,808","5,658,223","5,912,585","691,663","734,250","758,542","786,484","794,615","1,446,230","1,416,469","1,634,139","840,943","715,510","968,036","531,523","252,404","39.3","8,922,022","8,424,302","2,159,519","1,751,963","8,922,022","4,303,344","4,618,678","1,751,963","754,572","997,391","","11,570,808","11,274,849","295,959","11,274,849","9,541,274","1,405,148","18,273","4,526","584","334","574","212,547","67,936","54,881","14,049","8,859","16,669","13,241","36,912","3,118","708","602","698","1,110","94,489","295,959","146,419","47,820","38,187","11,711","","11,570,808","9,810,763","1,590,052","93,248","265,734","11,398","119,587","","11,570,808","383,113","192,868","104,623","7,774","77,848","11,187,695","9,295,777","1,387,905","14,859","210,648","3,047","14,021","261,438","6,853","254,585","5,124,126"
"    Percent","","11,570,808","48.9%","51.1%","6.0%","6.3%","6.6%","6.8%","6.9%","12.5%","12.2%","14.1%","7.3%","6.2%","8.4%","4.6%","2.2%","(X)","77.1%","72.8%","18.7%","15.1%","8,922,022","48.2%","51.8%","1,751,963","43.1%","56.9%","","11,570,808","97.4%","2.6%","97.4%","82.5%","12.1%","0.2%","0.0%","0.0%","0.0%","0.0%","1.8%","0.6%","0.5%","0.1%","0.1%","0.1%","0.1%","0.3%","0.0%","0.0%","0.0%","0.0%","0.0%","0.8%","2.6%","1.3%","0.4%","0.3%","0.1%","","11,570,808","84.8%","13.7%","0.8%","2.3%","0.1%","1.0%","","11,570,808","3.3%","1.7%","0.9%","0.1%","0.7%","96.7%","80.3%","12.0%","0.1%","1.8%","0.0%","0.1%","2.3%","0.1%","2.2%","(X)"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,850,568","1,906,922","1,943,646","262,687","272,004","262,377","263,608","283,455","522,612","472,596","493,982","256,019","213,301","313,654","168,793","65,480","36.2","2,902,736","2,729,389","671,932","547,927","2,902,736","1,420,299","1,482,437","547,927","242,923","305,004","","3,850,568","3,563,123","287,445","3,563,123","2,815,708","277,016","289,909","107,942","356","1,691","1,409","71,433","12,068","9,955","5,918","2,406","7,275","19,792","14,019","5,486","1,283","395","89","3,719","103,571","287,445","31,547","187,966","14,035","19,474","","3,850,568","3,075,284","343,169","513,097","92,006","9,851","120,368","","3,850,568","369,656","309,808","12,486","1,745","45,617","3,480,912","2,596,766","273,887","277,592","69,664","5,354","2,753","254,896","2,052","252,844","1,682,358"
