"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","RACE","RACE!!Total population","RACE!!One race","RACE!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!White","RACE!!Black or African American","RACE!!American Indian and Alaska Native","RACE!!Asian","RACE!!Native Hawaiian and Other Pacific Islander","RACE!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    Percent","","1,392,313","50.4%","49.6%","6.4%","6.0%","5.9%","5.9%","7.4%","14.3%","12.6%","13.3%","6.6%","6.4%","8.0%","4.4%","2.7%","(X)","78.2%","74.3%","18.7%","15.1%","1,089,432","50.1%","49.9%","210,423","44.4%","55.6%","","1,392,313","76.7%","23.3%","76.7%","24.9%","1.8%","0.2%","N","N","N","N","38.2%","0.1%","3.5%","15.0%","13.6%","1.6%","0.6%","3.7%","10.4%","6.5%","0.2%","1.1%","2.6%","1.1%","23.3%","0.4%","0.7%","4.9%","0.1%","","1,392,313","42.3%","3.2%","2.1%","56.4%","26.1%","2.6%","","1,392,313","9.5%","2.8%","3.4%","0.1%","3.2%","90.5%","22.8%","1.7%","0.1%","37.4%","9.4%","0.2%","18.9%","0.2%","18.7%","(X)"
"Idaho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,595,728","798,712","797,016","113,736","118,556","123,915","113,794","112,941","210,429","196,439","202,275","96,922","95,689","123,015","61,672","26,345","35.2","1,170,976","1,103,535","267,424","211,032","1,170,976","581,273","589,703","211,032","98,114","112,918","","1,595,728","1,556,204","39,524","1,556,204","1,458,371","8,759","20,764","1,380","529","767","146","20,613","1,439","4,194","4,117","2,904","2,108","2,111","3,740","1,686","201","489","330","666","46,011","39,524","4,904","14,555","10,602","332","","1,595,728","1,496,131","15,302","38,403","34,275","4,464","49,831","","1,595,728","185,159","155,304","2,749","150","26,956","1,410,569","1,330,942","8,263","17,157","18,757","1,686","1,917","31,847","497","31,350","673,048"
"    Percent","","1,595,728","50.1%","49.9%","7.1%","7.4%","7.8%","7.1%","7.1%","13.2%","12.3%","12.7%","6.1%","6.0%","7.7%","3.9%","1.7%","(X)","73.4%","69.2%","16.8%","13.2%","1,170,976","49.6%","50.4%","211,032","46.5%","53.5%","","1,595,728","97.5%","2.5%","97.5%","91.4%","0.5%","1.3%","0.1%","0.0%","0.0%","0.0%","1.3%","0.1%","0.3%","0.3%","0.2%","0.1%","0.1%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","2.9%","2.5%","0.3%","0.9%","0.7%","0.0%","","1,595,728","93.8%","1.0%","2.4%","2.1%","0.3%","3.1%","","1,595,728","11.6%","9.7%","0.2%","0.0%","1.7%","88.4%","83.4%","0.5%","1.1%","1.2%","0.1%","0.1%","2.0%","0.0%","2.0%","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","12,875,255","6,316,653","6,558,602","814,027","842,260","874,322","893,224","892,527","1,782,088","1,699,779","1,824,863","840,601","715,852","926,029","526,173","243,510","37.0","9,812,204","9,269,520","2,106,382","1,695,712","9,812,204","4,752,883","5,059,321","1,695,712","722,596","973,116","","12,875,255","12,592,420","282,835","12,592,420","9,358,637","1,853,436","26,814","2,108","838","511","1,276","617,924","204,068","114,058","109,649","18,929","61,734","25,826","83,660","4,231","556","1,124","119","2,432","731,378","282,835","94,946","38,325","56,539","9,469","","12,875,255","9,597,951","1,984,983","86,421","699,155","13,348","791,920","","12,875,255","2,100,008","1,672,997","199,211","25,518","202,282","10,775,247","8,093,687","1,825,624","12,917","612,771","3,484","16,159","210,605","10,869","199,736","5,290,149"
"    Percent","","12,875,255","49.1%","50.9%","6.3%","6.5%","6.8%","6.9%","6.9%","13.8%","13.2%","14.2%","6.5%","5.6%","7.2%","4.1%","1.9%","(X)","76.2%","72.0%","16.4%","13.2%","9,812,204","48.4%","51.6%","1,695,712","42.6%","57.4%","","12,875,255","97.8%","2.2%","97.8%","72.7%","14.4%","0.2%","0.0%","0.0%","0.0%","0.0%","4.8%","1.6%","0.9%","0.9%","0.1%","0.5%","0.2%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","5.7%","2.2%","0.7%","0.3%","0.4%","0.1%","","12,875,255","74.5%","15.4%","0.7%","5.4%","0.1%","6.2%","","12,875,255","16.3%","13.0%","1.5%","0.2%","1.6%","83.7%","62.9%","14.2%","0.1%","4.8%","0.0%","0.1%","1.6%","0.1%","1.6%","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,537,334","3,217,145","3,320,189","424,157","440,352","453,902","462,455","477,523","831,240","822,480","923,559","435,901","376,339","492,886","279,059","117,481","37.3","4,947,915","4,655,450","1,101,188","889,426","4,947,915","2,402,447","2,545,468","889,426","383,923","505,503","","6,537,334","6,395,519","141,815","6,395,519","5,513,003","598,171","16,295","2,817","1,295","66","873","107,736","24,640","29,799","10,021","4,348","11,485","7,960","19,483","2,824","634","1,257","434","499","157,490","141,815","58,686","26,761","22,376","5,923","","6,537,334","5,640,105","671,172","55,248","136,287","5,107","177,190","","6,537,334","408,900","312,833","31,081","3,495","61,491","6,128,434","5,289,249","590,436","12,462","107,176","1,722","9,667","117,722","3,244","114,478","2,808,430"
"    Percent","","6,537,334","49.2%","50.8%","6.5%","6.7%","6.9%","7.1%","7.3%","12.7%","12.6%","14.1%","6.7%","5.8%","7.5%","4.3%","1.8%","(X)","75.7%","71.2%","16.8%","13.6%","4,947,915","48.6%","51.4%","889,426","43.2%","56.8%","","6,537,334","97.8%","2.2%","97.8%","84.3%","9.2%","0.2%","0.0%","0.0%","0.0%","0.0%","1.6%","0.4%","0.5%","0.2%","0.1%","0.2%","0.1%","0.3%","0.0%","0.0%","0.0%","0.0%","0.0%","2.4%","2.2%","0.9%","0.4%","0.3%","0.1%","","6,537,334","86.3%","10.3%","0.8%","2.1%","0.1%","2.7%","","6,537,334","6.3%","4.8%","0.5%","0.1%","0.9%","93.7%","80.9%","9.0%","0.2%","1.6%","0.0%","0.1%","1.8%","0.0%","1.8%","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,074,186","1,524,107","1,550,079","195,997","201,963","203,907","210,664","224,662","389,631","360,444","424,197","207,232","185,871","240,189","154,996","74,433","38.0","2,351,520","2,209,709","573,053","469,618","2,351,520","1,153,459","1,198,061","469,618","203,221","266,397","","3,074,186","3,014,209","59,977","3,014,209","2,817,947","91,660","8,153","582","146","0","1,096","56,519","12,153","11,401","3,907","1,069","3,212","9,462","15,315","2,260","737","179","25","1,319","37,670","59,977","24,050","15,765","9,031","687","","3,074,186","2,875,961","119,717","27,355","67,528","3,311","44,080","","3,074,186","160,644","128,163","6,176","2,674","23,631","2,913,542","2,705,704","89,449","6,729","56,038","2,189","3,064","50,369","1,176","49,193","1,345,711"
"    Percent","","3,074,186","49.6%","50.4%","6.4%","6.6%","6.6%","6.9%","7.3%","12.7%","11.7%","13.8%","6.7%","6.0%","7.8%","5.0%","2.4%","(X)","76.5%","71.9%","18.6%","15.3%","2,351,520","49.1%","50.9%","469,618","43.3%","56.7%","","3,074,186","98.0%","2.0%","98.0%","91.7%","3.0%","0.3%","0.0%","0.0%","0.0%","0.0%","1.8%","0.4%","0.4%","0.1%","0.0%","0.1%","0.3%","0.5%","0.1%","0.0%","0.0%","0.0%","0.0%","1.2%","2.0%","0.8%","0.5%","0.3%","0.0%","","3,074,186","93.6%","3.9%","0.9%","2.2%","0.1%","1.4%","","3,074,186","5.2%","4.2%","0.2%","0.1%","0.8%","94.8%","88.0%","2.9%","0.2%","1.8%","0.1%","0.1%","1.6%","0.0%","1.6%","(X)"
"Kansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,885,905","1,434,617","1,451,288","201,418","202,554","200,661","207,793","210,255","383,049","345,040","390,310","192,095","158,506","207,483","126,152","60,589","36.0","2,164,628","2,026,764","485,090","394,224","2,164,628","1,067,435","1,097,193","394,224","172,418","221,806","","2,885,905","2,794,412","91,493","2,794,412","2,468,884","167,414","26,087","5,650","97","1,491","1,103","71,821","12,287","13,201","5,210","2,161","6,482","15,714","16,766","2,263","459","656","221","927","57,943","91,493","30,641","25,823","11,370","3,651","","2,885,905","2,549,961","209,891","61,444","89,447","5,456","68,754","","2,885,905","315,776","275,317","10,309","2,864","27,286","2,570,129","2,234,826","162,574","22,793","71,374","2,155","1,204","75,203","1,416","73,787","1,238,703"
"    Percent","","2,885,905","49.7%","50.3%","7.0%","7.0%","7.0%","7.2%","7.3%","13.3%","12.0%","13.5%","6.7%","5.5%","7.2%","4.4%","2.1%","(X)","75.0%","70.2%","16.8%","13.7%","2,164,628","49.3%","50.7%","394,224","43.7%","56.3%","","2,885,905","96.8%","3.2%","96.8%","85.5%","5.8%","0.9%","0.2%","0.0%","0.1%","0.0%","2.5%","0.4%","0.5%","0.2%","0.1%","0.2%","0.5%","0.6%","0.1%","0.0%","0.0%","0.0%","0.0%","2.0%","3.2%","1.1%","0.9%","0.4%","0.1%","","2,885,905","88.4%","7.3%","2.1%","3.1%","0.2%","2.4%","","2,885,905","10.9%","9.5%","0.4%","0.1%","0.9%","89.1%","77.4%","5.6%","0.8%","2.5%","0.1%","0.0%","2.6%","0.0%","2.6%","(X)"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,380,415","2,154,939","2,225,476","276,673","280,704","292,117","289,298","306,162","561,750","567,749","628,346","300,241","263,749","355,055","186,795","71,776","38.4","3,362,436","3,176,498","768,708","613,626","3,362,436","1,632,674","1,729,762","613,626","265,486","348,140","","4,380,415","4,293,204","87,211","4,293,204","3,844,617","344,584","8,141","2,919","491","495","161","55,397","11,731","12,716","4,919","4,162","4,300","7,195","10,374","2,149","775","277","532","565","38,316","87,211","38,782","19,063","10,733","3,029","","4,380,415","3,925,032","393,202","34,011","69,351","4,276","47,697","","4,380,415","134,035","78,134","13,535","11,651","30,715","4,246,380","3,760,302","340,056","6,965","55,143","2,149","4,783","76,982","1,374","75,608","1,937,321"
"    Percent","","4,380,415","49.2%","50.8%","6.3%","6.4%","6.7%","6.6%","7.0%","12.8%","13.0%","14.3%","6.9%","6.0%","8.1%","4.3%","1.6%","(X)","76.8%","72.5%","17.5%","14.0%","3,362,436","48.6%","51.4%","613,626","43.3%","56.7%","","4,380,415","98.0%","2.0%","98.0%","87.8%","7.9%","0.2%","0.1%","0.0%","0.0%","0.0%","1.3%","0.3%","0.3%","0.1%","0.1%","0.1%","0.2%","0.2%","0.0%","0.0%","0.0%","0.0%","0.0%","0.9%","2.0%","0.9%","0.4%","0.2%","0.1%","","4,380,415","89.6%","9.0%","0.8%","1.6%","0.1%","1.1%","","4,380,415","3.1%","1.8%","0.3%","0.3%","0.7%","96.9%","85.8%","7.8%","0.2%","1.3%","0.0%","0.1%","1.8%","0.0%","1.7%","(X)"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,601,893","2,248,888","2,353,005","309,280","307,762","321,319","314,869","342,058","644,935","565,163","632,814","305,313","260,630","343,498","183,658","70,594","36.0","3,482,769","3,275,739","751,397","597,750","3,482,769","1,679,036","1,803,733","597,750","256,835","340,915","","4,601,893","4,523,418","78,475","4,523,418","2,891,506","1,483,239","25,551","3,124","0","271","255","72,216","6,729","13,010","5,793","1,009","4,556","34,078","7,041","2,209","494","134","664","917","48,697","78,475","26,067","20,528","7,886","4,884","","4,601,893","2,957,695","1,523,992","57,677","87,555","6,036","56,964","","4,601,893","207,636","80,185","14,610","10,738","102,103","4,394,257","2,748,748","1,472,115","22,089","71,648","2,209","10,375","67,073","2,619","64,454","1,987,059"
"    Percent","","4,601,893","48.9%","51.1%","6.7%","6.7%","7.0%","6.8%","7.4%","14.0%","12.3%","13.8%","6.6%","5.7%","7.5%","4.0%","1.5%","(X)","75.7%","71.2%","16.3%","13.0%","3,482,769","48.2%","51.8%","597,750","43.0%","57.0%","","4,601,893","98.3%","1.7%","98.3%","62.8%","32.2%","0.6%","0.1%","0.0%","0.0%","0.0%","1.6%","0.1%","0.3%","0.1%","0.0%","0.1%","0.7%","0.2%","0.0%","0.0%","0.0%","0.0%","0.0%","1.1%","1.7%","0.6%","0.4%","0.2%","0.1%","","4,601,893","64.3%","33.1%","1.3%","1.9%","0.1%","1.2%","","4,601,893","4.5%","1.7%","0.3%","0.2%","2.2%","95.5%","59.7%","32.0%","0.5%","1.6%","0.0%","0.2%","1.5%","0.1%","1.4%","(X)"
"Maine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,329,192","650,714","678,478","66,190","76,892","74,288","85,514","79,291","147,351","161,719","210,020","108,224","93,730","125,335","71,245","29,393","43.5","1,063,205","1,009,255","281,089","225,973","1,063,205","513,567","549,638","225,973","101,141","124,832","","1,329,192","1,303,087","26,105","1,303,087","1,264,328","13,614","8,066","N","N","N","N","14,414","789","2,676","1,356","766","995","3,893","3,939","156","N","N","N","N","2,509","26,105","6,044","12,660","3,957","385","","1,329,192","1,289,000","21,612","22,354","19,462","578","3,814","","1,329,192","18,451","5,866","5,583","679","6,323","1,310,741","1,250,688","13,316","7,462","14,396","127","453","24,299","763","23,536","724,187"
"    Percent","","1,329,192","49.0%","51.0%","5.0%","5.8%","5.6%","6.4%","6.0%","11.1%","12.2%","15.8%","8.1%","7.1%","9.4%","5.4%","2.2%","(X)","80.0%","75.9%","21.1%","17.0%","1,063,205","48.3%","51.7%","225,973","44.8%","55.2%","","1,329,192","98.0%","2.0%","98.0%","95.1%","1.0%","0.6%","N","N","N","N","1.1%","0.1%","0.2%","0.1%","0.1%","0.1%","0.3%","0.3%","0.0%","N","N","N","N","0.2%","2.0%","0.5%","1.0%","0.3%","0.0%","","1,329,192","97.0%","1.6%","1.7%","1.5%","0.0%","0.3%","","1,329,192","1.4%","0.4%","0.4%","0.1%","0.5%","98.6%","94.1%","1.0%","0.6%","1.1%","0.0%","0.0%","1.8%","0.1%","1.8%","(X)"
"Maryland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,884,563","2,849,291","3,035,272","364,625","375,963","370,233","394,552","407,055","801,626","775,962","894,876","389,504","347,486","429,926","227,102","105,653","38.1","4,541,628","4,296,219","958,644","762,681","4,541,628","2,165,290","2,376,338","762,681","326,004","436,677","","5,884,563","5,700,940","183,623","5,700,940","3,417,690","1,720,936","17,171","N","N","N","N","339,527","80,360","79,471","50,187","5,208","44,184","28,313","51,804","2,637","637","865","338","797","202,979","183,623","63,347","21,746","36,246","10,445","","5,884,563","3,565,747","1,821,060","62,415","397,531","10,537","227,680","","5,884,563","510,448","99,954","42,068","12,320","356,106","5,374,115","3,166,263","1,696,151","12,471","337,959","2,324","10,096","148,851","5,356","143,495","2,395,635"
"    Percent","","5,884,563","48.4%","51.6%","6.2%","6.4%","6.3%","6.7%","6.9%","13.6%","13.2%","15.2%","6.6%","5.9%","7.3%","3.9%","1.8%","(X)","77.2%","73.0%","16.3%","13.0%","4,541,628","47.7%","52.3%","762,681","42.7%","57.3%","","5,884,563","96.9%","3.1%","96.9%","58.1%","29.2%","0.3%","N","N","N","N","5.8%","1.4%","1.4%","0.9%","0.1%","0.8%","0.5%","0.9%","0.0%","0.0%","0.0%","0.0%","0.0%","3.4%","3.1%","1.1%","0.4%","0.6%","0.2%","","5,884,563","60.6%","30.9%","1.1%","6.8%","0.2%","3.9%","","5,884,563","8.7%","1.7%","0.7%","0.2%","6.1%","91.3%","53.8%","28.8%","0.2%","5.7%","0.0%","0.2%","2.5%","0.1%","2.4%","(X)"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,646,144","3,219,753","3,426,391","363,859","378,925","405,220","469,323","472,208","886,716","856,995","1,002,726","456,413","392,728","509,669","292,147","159,215","39.5","5,244,889","4,920,066","1,188,248","961,031","5,244,889","2,504,198","2,740,691","961,031","406,909","554,122","","6,646,144","6,462,357","183,787","6,462,357","5,323,896","473,527","13,230","N","N","N","N","381,262","81,789","139,573","10,637","9,804","25,718","47,742","65,999","900","N","N","N","N","269,542","183,787","74,696","20,122","33,186","3,551","","6,646,144","5,482,773","574,269","46,796","425,516","5,770","307,931","","6,646,144","673,885","40,973","282,795","12,758","337,359","5,972,259","5,003,798","425,654","7,210","378,962","850","37,684","118,101","16,324","101,777","2,810,394"
"    Percent","","6,646,144","48.4%","51.6%","5.5%","5.7%","6.1%","7.1%","7.1%","13.3%","12.9%","15.1%","6.9%","5.9%","7.7%","4.4%","2.4%","(X)","78.9%","74.0%","17.9%","14.5%","5,244,889","47.7%","52.3%","961,031","42.3%","57.7%","","6,646,144","97.2%","2.8%","97.2%","80.1%","7.1%","0.2%","N","N","N","N","5.7%","1.2%","2.1%","0.2%","0.1%","0.4%","0.7%","1.0%","0.0%","N","N","N","N","4.1%","2.8%","1.1%","0.3%","0.5%","0.1%","","6,646,144","82.5%","8.6%","0.7%","6.4%","0.1%","4.6%","","6,646,144","10.1%","0.6%","4.3%","0.2%","5.1%","89.9%","75.3%","6.4%","0.1%","5.7%","0.0%","0.6%","1.8%","0.2%","1.5%","(X)"
"Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","9,883,360","4,851,429","5,031,931","571,645","618,518","662,279","700,929","708,971","1,172,289","1,225,386","1,457,028","712,107","611,585","795,091","444,297","203,235","39.5","7,615,737","7,169,038","1,793,727","1,442,623","7,615,737","3,689,583","3,926,154","1,442,623","629,199","813,424","","9,883,360","9,629,016","254,344","9,629,016","7,840,426","1,388,360","56,356","2,650","23,433","23","432","248,093","89,467","45,608","22,868","10,799","21,651","14,930","42,770","1,829","924","547","238","120","93,952","254,344","87,840","56,965","44,897","12,762","","9,883,360","8,064,202","1,512,368","140,910","306,423","8,783","121,991","","9,883,360","454,918","337,484","42,732","9,866","64,836","9,428,442","7,523,647","1,375,814","49,914","247,148","1,612","11,165","219,142","8,375","210,767","4,525,081"
"    Percent","","9,883,360","49.1%","50.9%","5.8%","6.3%","6.7%","7.1%","7.2%","11.9%","12.4%","14.7%","7.2%","6.2%","8.0%","4.5%","2.1%","(X)","77.1%","72.5%","18.1%","14.6%","7,615,737","48.4%","51.6%","1,442,623","43.6%","56.4%","","9,883,360","97.4%","2.6%","97.4%","79.3%","14.0%","0.6%","0.0%","0.2%","0.0%","0.0%","2.5%","0.9%","0.5%","0.2%","0.1%","0.2%","0.2%","0.4%","0.0%","0.0%","0.0%","0.0%","0.0%","1.0%","2.6%","0.9%","0.6%","0.5%","0.1%","","9,883,360","81.6%","15.3%","1.4%","3.1%","0.1%","1.2%","","9,883,360","4.6%","3.4%","0.4%","0.1%","0.7%","95.4%","76.1%","13.9%","0.5%","2.5%","0.0%","0.1%","2.2%","0.1%","2.1%","(X)"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,379,139","2,670,741","2,708,398","347,581","365,611","350,518","360,976","353,709","737,436","671,226","786,610","366,120","309,442","392,040","225,929","111,941","37.6","4,101,339","3,885,448","906,277","729,910","4,101,339","2,017,849","2,083,490","729,910","322,566","407,344","","5,379,139","5,242,690","136,449","5,242,690","4,596,694","287,165","56,230","309","33,716","123","5,551","226,902","38,908","28,350","9,355","3,937","15,734","24,425","106,193","2,336","326","558","316","1,136","73,363","136,449","44,997","32,693","29,490","4,528","","5,379,139","4,721,186","346,566","101,612","262,496","8,073","85,519","","5,379,139","264,025","189,632","11,023","3,519","59,851","5,115,114","4,424,944","282,628","53,113","225,697","2,276","4,827","121,629","3,706","117,923","2,361,074"
"    Percent","","5,379,139","49.6%","50.4%","6.5%","6.8%","6.5%","6.7%","6.6%","13.7%","12.5%","14.6%","6.8%","5.8%","7.3%","4.2%","2.1%","(X)","76.2%","72.2%","16.8%","13.6%","4,101,339","49.2%","50.8%","729,910","44.2%","55.8%","","5,379,139","97.5%","2.5%","97.5%","85.5%","5.3%","1.0%","0.0%","0.6%","0.0%","0.1%","4.2%","0.7%","0.5%","0.2%","0.1%","0.3%","0.5%","2.0%","0.0%","0.0%","0.0%","0.0%","0.0%","1.4%","2.5%","0.8%","0.6%","0.5%","0.1%","","5,379,139","87.8%","6.4%","1.9%","4.9%","0.2%","1.6%","","5,379,139","4.9%","3.5%","0.2%","0.1%","1.1%","95.1%","82.3%","5.3%","1.0%","4.2%","0.0%","0.1%","2.3%","0.1%","2.2%","(X)"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,984,926","1,442,072","1,542,854","202,396","210,196","212,355","224,918","223,093","374,529","375,050","396,700","193,210","169,755","231,898","122,825","48,001","36.2","2,237,257","2,084,209","503,233","402,724","2,237,257","1,062,706","1,174,551","402,724","171,181","231,543","","2,984,926","2,952,074","32,852","2,952,074","1,768,736","1,123,620","12,591","N","N","N","N","23,923","4,689","6,508","2,938","2,120","1,839","4,117","1,712","399","N","N","N","N","22,805","32,852","13,329","7,157","5,382","1,224","","2,984,926","1,798,463","1,141,689","23,273","31,294","1,190","24,593","","2,984,926","80,121","48,914","9,554","2,867","18,786","2,904,805","1,717,214","1,119,168","11,840","23,816","399","2,951","29,417","605","28,812","1,283,897"
"    Percent","","2,984,926","48.3%","51.7%","6.8%","7.0%","7.1%","7.5%","7.5%","12.5%","12.6%","13.3%","6.5%","5.7%","7.8%","4.1%","1.6%","(X)","75.0%","69.8%","16.9%","13.5%","2,237,257","47.5%","52.5%","402,724","42.5%","57.5%","","2,984,926","98.9%","1.1%","98.9%","59.3%","37.6%","0.4%","N","N","N","N","0.8%","0.2%","0.2%","0.1%","0.1%","0.1%","0.1%","0.1%","0.0%","N","N","N","N","0.8%","1.1%","0.4%","0.2%","0.2%","0.0%","","2,984,926","60.3%","38.2%","0.8%","1.0%","0.0%","0.8%","","2,984,926","2.7%","1.6%","0.3%","0.1%","0.6%","97.3%","57.5%","37.5%","0.4%","0.8%","0.0%","0.1%","1.0%","0.0%","1.0%","(X)"
"Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
